Ensembl gene ID,Description_Clarke.et.al._2
ENSOARG00000000039,olfactory receptor family 52 subfamily A member 1
ENSOARG00000000045,olfactory receptor 52A1-like
ENSOARG00000000049,
ENSOARG00000000050,
ENSOARG00000000052,retroviral gag protein
ENSOARG00000000054,zymogen granule protein 16 homolog B-like
ENSOARG00000000055,
ENSOARG00000000057,Retrovirus-related Pol polyprotein LINE-1
ENSOARG00000000058,"boLa class II histocompatibility antigen, DQB*0101 beta chain-like"
ENSOARG00000000059,olfactory receptor family 5 subfamily W member 2
ENSOARG00000000060,olfactory receptor 7A10-like
ENSOARG00000000061,
ENSOARG00000000062,VN1R4
ENSOARG00000000064,LOW QUALITY PROTEIN: histone-lysine N-methyltransferase PRDM9-like
ENSOARG00000000066,pleckstrin homology domain-containing family G member 3
ENSOARG00000000067,acidic nuclear phosphoprotein 32 family member A
ENSOARG00000000068,putative pheromone receptor sheepv1r17
ENSOARG00000000070,"GTPase, IMAP family member 7"
ENSOARG00000000071,
ENSOARG00000000073,serine and arginine rich splicing factor 10
ENSOARG00000000074,LOW QUALITY PROTEIN: receptor-transporting protein 5
ENSOARG00000000075,hypothetical protein PANDA_016566
ENSOARG00000000077,mitochondrial ribosomal protein S2
ENSOARG00000000079,
ENSOARG00000000081,TATA-binding protein-associated factor 2N
ENSOARG00000000083,cytochrome P450 3A24-like
ENSOARG00000000086,
ENSOARG00000000087,WD repeat and SOCS box-containing protein 1
ENSOARG00000000093,
ENSOARG00000000098,keratin-associated protein KAP1-2
ENSOARG00000000101,immunoglobulin lambda-like polypeptide 1
ENSOARG00000000102,LOW QUALITY PROTEIN: nuclear RNA export factor 3-like
ENSOARG00000000103,Testis-expressed sequence 15 protein
ENSOARG00000000104,"keratin, high-sulfur matrix protein, IIIA3-like"
ENSOARG00000000105,transmembrane protein 82
ENSOARG00000000108,
ENSOARG00000000114,LOW QUALITY PROTEIN: complement C3
ENSOARG00000000115,zinc finger protein 347-like
ENSOARG00000000119,
ENSOARG00000000120,zinc finger protein 160-like
ENSOARG00000000121,NKG2D ligand 1-like
ENSOARG00000000126,ribosomal protein L5
ENSOARG00000000127,EP300-interacting inhibitor of differentiation 1
ENSOARG00000000130,
ENSOARG00000000132,sushi domain-containing protein 2-like
ENSOARG00000000134,zinc finger protein 160-like
ENSOARG00000000136,LOW QUALITY PROTEIN: ankyrin repeat domain-containing protein 26-like
ENSOARG00000000138,vomeronasal type-2 receptor 116-like
ENSOARG00000000140,60S ribosomal protein L21-like
ENSOARG00000000141,
ENSOARG00000000143,LOW QUALITY PROTEIN: uncharacterized protein LOC105615685
ENSOARG00000000144,zinc finger protein 347-like
ENSOARG00000000146,MLV-related proviral Env polyprotein-like
ENSOARG00000000147,zinc finger protein 282
ENSOARG00000000148,protein phosphatase 1 regulatory inhibitor subunit 14B
ENSOARG00000000150,"LOW QUALITY PROTEIN: cytochrome P450 11B1, mitochondrial-like"
ENSOARG00000000152,fibronectin type III domain containing protein 3C1
ENSOARG00000000154,LOW QUALITY PROTEIN: zinc finger protein 28-like
ENSOARG00000000160,testis expressed 19
ENSOARG00000000161,capping actin protein of muscle Z-line alpha subunit 2
ENSOARG00000000162,phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein-like
ENSOARG00000000167,
ENSOARG00000000168,LOW QUALITY PROTEIN: zinc finger protein 674
ENSOARG00000000171,hypothetical protein XENTR_v900129151mg
ENSOARG00000000178,
ENSOARG00000000179,
ENSOARG00000000180,hypothetical protein
ENSOARG00000000181,beta-defensin 125
ENSOARG00000000182,
ENSOARG00000000183,POU class 4 homeobox 1
ENSOARG00000000188,LOW QUALITY PROTEIN: uncharacterized protein LOC105613868
ENSOARG00000000189,NRG1 protein
ENSOARG00000000190,
ENSOARG00000000192,zinc finger protein 347-like
